,time,open,high,low,close,volume
2205,2022-04-28 19:15:00,859.5,859.5,859.0,859.0,1757
2206,2022-04-28 19:10:00,858.81,858.81,858.75,858.75,594
2207,2022-04-28 19:05:00,857.0,858.0,857.0,858.0,2290
2208,2022-04-28 19:00:00,857.34,857.34,856.02,857.25,2171
2209,2022-04-28 18:55:00,858.25,858.25,856.66,856.66,3766
2210,2022-04-28 18:50:00,859.0,859.16,858.14,858.14,1216
2211,2022-04-28 18:45:00,860.19,860.19,858.72,858.72,4110
2212,2022-04-28 18:40:00,861.0,861.0,860.0,861.0,2911
2213,2022-04-28 18:35:00,861.0,877.51,860.5,860.5,8452
2214,2022-04-28 18:30:00,860.24,860.96,858.41,860.96,4660
2215,2022-04-28 18:25:00,860.8,862.0,860.0,860.0,5922
2216,2022-04-28 18:20:00,858.99,860.75,858.01,860.75,8914
2217,2022-04-28 18:15:00,856.62,858.5,856.62,857.56,3119
2218,2022-04-28 18:10:00,860.0,860.0,856.31,857.03,6990
2219,2022-04-28 18:05:00,854.0,859.0,853.16,859.0,11542
2220,2022-04-28 18:00:00,856.9999,858.0,852.94,855.7927,15062
2221,2022-04-28 17:55:00,855.11,857.09,855.0,856.55,11990
2222,2022-04-28 17:50:00,852.99,856.0,851.0,856.0,9469
2223,2022-04-28 17:45:00,850.06,852.9057,849.637,852.9057,12992
2224,2022-04-28 17:40:00,851.0,851.0,848.36,849.02,22959
2225,2022-04-28 17:35:00,852.98,853.92,851.0,851.42,8387
2226,2022-04-28 17:30:00,851.0,853.0,848.36,851.61,22082
2227,2022-04-28 17:25:00,854.0,855.94,850.0,850.8,26450
2228,2022-04-28 17:20:00,860.0,860.0,851.77,853.02,31690
2229,2022-04-28 17:15:00,862.11,863.9999,860.77,860.77,5233
2230,2022-04-28 17:10:00,864.03,864.05,860.88,861.8,11805
2231,2022-04-28 17:05:00,864.05,865.9,863.55,864.25,19656
2232,2022-04-28 17:00:00,865.4899,877.51,864.2,864.993,9709
2233,2022-04-28 16:55:00,866.5,877.51,864.18,865.0,41421
2234,2022-04-28 16:50:00,869.0,869.5,866.25,866.25,11297
2235,2022-04-28 16:45:00,869.07,877.51,868.2,869.0,9833
2236,2022-04-28 16:40:00,871.0,877.51,868.02,868.759,13717
2237,2022-04-28 16:35:00,867.0,874.5,867.0,872.342,29231
2238,2022-04-28 16:30:00,867.8,867.9899,866.88,867.0,9574
2239,2022-04-28 16:25:00,866.0,867.7842,866.0,867.33,9349
2240,2022-04-28 16:20:00,863.11,867.75,862.34,866.03,249141
2241,2022-04-28 16:15:00,867.22,867.32,863.0,863.21,19227
2242,2022-04-28 16:10:00,867.4072,872.96,866.99,867.0002,20980
2243,2022-04-28 16:05:00,877.51,878.15,865.0,867.4999,89587
2244,2022-04-28 16:00:00,877.34,877.98,873.5,877.5,1050833
2245,2022-04-28 15:55:00,880.48,881.0,877.26,877.26,558694
2246,2022-04-28 15:50:00,880.495,881.98,878.42,880.195,501330
2247,2022-04-28 15:45:00,884.2,884.98,880.02,880.73,386504
2248,2022-04-28 15:40:00,884.67,885.8,882.4427,884.54,478951
2249,2022-04-28 15:35:00,881.94,885.0,881.19,884.54,364184
2250,2022-04-28 15:30:00,889.4299,889.82,881.56,881.75,383350
2251,2022-04-28 15:25:00,889.4,890.35,887.46,889.15,352976
2252,2022-04-28 15:20:00,887.71,889.66,886.855,889.28,326789
2253,2022-04-28 15:15:00,888.23,889.0,885.5,887.84,293176
2254,2022-04-28 15:10:00,883.815,888.53,883.8101,887.905,324507
2255,2022-04-28 15:05:00,888.51,888.67,882.2001,883.9554,427247
2256,2022-04-28 15:00:00,886.75,889.6,886.5,888.55,354056
2257,2022-04-28 14:55:00,890.29,895.19,886.76,886.8,615218
2258,2022-04-28 14:50:00,885.48,890.44,884.69,890.44,410805
2259,2022-04-28 14:45:00,884.1994,886.15,882.13,885.66,314949
2260,2022-04-28 14:40:00,883.0,886.5678,882.63,884.0,453761
2261,2022-04-28 14:35:00,880.29,883.71,879.7368,883.03,452253
2262,2022-04-28 14:30:00,877.9,880.5635,876.51,880.205,365510
2263,2022-04-28 14:25:00,874.9901,877.9,871.5117,877.9,304682
2264,2022-04-28 14:20:00,871.5258,875.0,870.5,874.78,258918
2265,2022-04-28 14:15:00,874.195,877.34,871.4,871.71,288449
2266,2022-04-28 14:10:00,879.9899,879.99,872.3,874.48,444592
2267,2022-04-28 14:05:00,878.03,881.0999,877.0,879.915,496734
2268,2022-04-28 14:00:00,870.79,878.6,870.5,878.13,411337
2269,2022-04-28 13:55:00,872.5685,873.4,870.0,870.6697,283754
2270,2022-04-28 13:50:00,871.435,872.525,869.74,872.31,283415
2271,2022-04-28 13:45:00,873.43,874.5,867.9,871.434,423634
2272,2022-04-28 13:40:00,866.6402,873.48,865.13,873.185,414305
2273,2022-04-28 13:35:00,865.69,868.89,861.25,866.5,394994
2274,2022-04-28 13:30:00,865.87,867.29,864.3305,865.57,275351
2275,2022-04-28 13:25:00,865.5,866.5195,863.0135,866.03,247562
2276,2022-04-28 13:20:00,869.03,870.09,861.25,865.62,453062
2277,2022-04-28 13:15:00,867.1012,870.09,866.05,869.18,348844
2278,2022-04-28 13:10:00,871.545,872.3161,861.2,867.0646,503858
2279,2022-04-28 13:05:00,869.0,873.46,867.33,871.35,522818
2280,2022-04-28 13:00:00,869.93,870.15,864.4,868.835,384548
2281,2022-04-28 12:55:00,866.29,870.59,861.1101,869.5981,707526
2282,2022-04-28 12:50:00,864.68,875.91,864.51,866.28,1143218
2283,2022-04-28 12:45:00,857.09,864.65,855.53,864.65,517634
2284,2022-04-28 12:40:00,853.84,858.15,852.91,856.93,434313
2285,2022-04-28 12:35:00,850.9,853.84,849.791,853.84,403698
2286,2022-04-28 12:30:00,847.57,851.1157,847.57,850.8109,446166
2287,2022-04-28 12:25:00,846.9599,848.04,845.65,847.4732,278847
2288,2022-04-28 12:20:00,845.51,847.4,844.5,846.04,321892
2289,2022-04-28 12:15:00,839.7252,845.6,839.25,845.185,317005
